|dates|Putnam_WestVirginia_UnitedStates.BLS_EmployedPopulation.data|Putnam_WestVirginia_UnitedStates.BLS_EmployedPopulation.missing|Putnam_WestVirginia_UnitedStates.BLS_UnemployedPopulation.data|Putnam_WestVirginia_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_WestVirginia_UnitedStates.BLS_UnemploymentRate.data|Putnam_WestVirginia_UnitedStates.BLS_UnemploymentRate.missing|Putnam_WestVirginia_UnitedStates.BLS_LaborForcePopulation.data|Putnam_WestVirginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-02|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-03|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-04|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-05|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-06|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-07|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-08|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-09|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-10|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-11|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-12|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-13|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-14|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-15|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-16|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-17|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-18|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-19|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-20|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
0|2020-01-21|25898.0|0|1263.5|0|4.651804944498647|0|27161.5|0
