|dates|Harding_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Harding_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Harding_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Harding_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Harding_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Harding_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Harding_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Harding_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-02|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-03|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-04|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-05|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-06|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-07|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-08|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-09|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-10|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-11|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-12|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-13|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-14|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-15|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-16|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-17|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-18|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-19|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-20|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-21|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-22|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-23|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-24|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-25|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-26|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-27|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-28|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-29|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-30|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-01-31|692.0|0|18.5|0|2.6038001407459537|0|710.5|0
0|2020-02-01|683.5|0|17.0|0|2.4268379728765166|0|700.5|0
0|2020-02-02|683.5|0|17.0|0|2.4268379728765166|0|700.5|0
