|dates|Roscommon_Michigan_UnitedStates.BLS_EmployedPopulation.data|Roscommon_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Roscommon_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Roscommon_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Roscommon_Michigan_UnitedStates.BLS_UnemploymentRate.data|Roscommon_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Roscommon_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Roscommon_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-02|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-03|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-04|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-05|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-06|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-07|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-08|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-09|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-10|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-11|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-12|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-13|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-14|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-15|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-16|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-17|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-18|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-19|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-20|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-21|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-22|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
0|2020-01-23|6743.5|0|706.0|0|9.477146117189074|0|7449.5|0
