|dates|Jessamine_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Jessamine_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Jessamine_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Jessamine_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Jessamine_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Jessamine_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Jessamine_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Jessamine_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-02|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-03|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-04|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-05|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-06|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-07|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-08|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-09|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-10|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-11|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-12|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-13|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-14|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-15|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-16|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-17|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-18|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-19|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-20|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-21|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-22|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-23|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-24|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
0|2020-01-25|25641.0|0|1011.5|0|3.7951411687458965|0|26652.5|0
