|dates|Arthur_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Arthur_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Arthur_Nebraska_UnitedStates.Male_Total_Population.data|Arthur_Nebraska_UnitedStates.Male_Total_Population.missing|Arthur_Nebraska_UnitedStates.Female_Total_Population.data|Arthur_Nebraska_UnitedStates.Female_Total_Population.missing|Arthur_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Arthur_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-02|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-03|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-04|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-05|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-06|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-07|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-08|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-09|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-10|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-11|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-12|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-13|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-14|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-15|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-16|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-17|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-18|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-19|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-20|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-21|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-22|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-23|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-24|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-25|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-26|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-27|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-28|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-29|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-30|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-01-31|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-01|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-02|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-03|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-04|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-05|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-06|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-07|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-08|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-09|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-10|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-11|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-12|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-13|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-14|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-15|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-16|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-17|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-18|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-19|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-20|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-21|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-22|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-23|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-24|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-25|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-26|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-27|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-28|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-02-29|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-01|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-02|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-03|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-04|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-05|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-06|102.0|0|230.0|0|235.0|0|120.0|0
0|2020-03-07|102.0|0|230.0|0|235.0|0|120.0|0
