|dates|Washita_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|Washita_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|Washita_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|Washita_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|Washita_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|Washita_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|Washita_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|Washita_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-02|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-03|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-04|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-05|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-06|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-07|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-08|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-09|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-10|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-11|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-12|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-13|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-14|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-15|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-16|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-17|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-18|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-19|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-20|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-21|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
0|2020-01-22|4941.0|0|209.5|0|4.06756625570333|0|5150.5|0
