|dates|Forsyth_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Forsyth_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Forsyth_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Forsyth_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Forsyth_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Forsyth_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Forsyth_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Forsyth_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-02|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-03|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-04|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-05|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-06|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-07|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-08|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-09|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-10|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-11|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-12|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-13|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-14|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-15|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-16|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-17|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-18|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-19|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-20|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-21|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-22|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-23|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-24|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-25|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-26|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-27|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-28|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-29|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-30|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-01-31|182416.5|0|6942.5|0|3.6663163620424695|0|189359.0|0
0|2020-02-01|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-02|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-03|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-04|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-05|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-06|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-07|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-08|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-09|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-10|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-11|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-12|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-13|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-14|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-15|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-16|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-17|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-18|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-19|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-20|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-21|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-22|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-23|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-24|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-25|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-26|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-27|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-28|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-02-29|183961.0|0|6412.0|0|3.368124681546228|0|190373.0|0
0|2020-03-01|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-02|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-03|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-04|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-05|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-06|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-07|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
0|2020-03-08|176450.0|0|7225.0|0|3.9335783312916837|0|183675.0|0
