|dates|Sioux_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Sioux_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Sioux_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Sioux_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Sioux_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Sioux_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Sioux_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Sioux_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-02|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-03|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-04|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-05|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-06|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-07|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-08|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-09|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-10|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-11|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-12|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-13|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-14|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-15|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-16|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-17|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-18|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-19|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-20|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-21|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-22|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-23|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-24|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-25|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-26|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-27|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-28|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-29|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-30|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-01-31|1154.0|0|31.5|0|2.6571067060312106|0|1185.5|0
0|2020-02-01|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-02|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-03|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-04|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-05|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-06|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-07|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-08|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-09|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-10|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-11|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-12|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-13|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-14|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-15|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-16|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-17|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-18|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-19|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-20|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-21|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-22|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-23|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-24|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-25|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-26|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-27|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-28|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-02-29|1153.5|0|36.5|0|3.0672268907563027|0|1190.0|0
0|2020-03-01|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-02|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-03|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-04|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-05|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-06|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-07|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-08|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-09|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-10|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-11|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-12|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-13|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-14|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-15|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-16|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-17|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-18|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-19|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-20|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-21|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-22|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-23|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-24|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-25|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-26|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-27|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-28|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-29|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-30|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-03-31|1160.0|0|36.0|0|3.0100334448160537|0|1196.0|0
0|2020-04-01|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-02|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-03|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-04|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-05|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-06|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-07|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-08|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-09|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-10|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-11|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-12|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-13|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-14|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-15|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-16|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-17|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-18|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-19|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-20|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-21|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-22|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-23|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-24|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-25|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-26|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
0|2020-04-27|1102.5|0|40.5|0|3.543307086614173|0|1143.0|0
