|dates|Douglas_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Douglas_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Douglas_SouthDakota_UnitedStates.Male_Total_Population.data|Douglas_SouthDakota_UnitedStates.Male_Total_Population.missing|Douglas_SouthDakota_UnitedStates.Female_Total_Population.data|Douglas_SouthDakota_UnitedStates.Female_Total_Population.missing|Douglas_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Douglas_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-02|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-03|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-04|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-05|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-06|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-07|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-08|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-09|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-10|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-11|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-12|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-13|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-14|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-15|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-16|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-17|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-18|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-19|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-20|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-21|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-22|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-23|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-24|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-25|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-26|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-27|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-28|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-29|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-30|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-01-31|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-02-01|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-02-02|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-02-03|707.0|0|1452.0|0|1483.0|0|755.0|0
0|2020-02-04|707.0|0|1452.0|0|1483.0|0|755.0|0
