|dates|Quay_NewMexico_UnitedStates.AveragePrecipitationTotal.data|Quay_NewMexico_UnitedStates.AveragePrecipitationTotal.missing|Quay_NewMexico_UnitedStates.AveragePrecipitation.data|Quay_NewMexico_UnitedStates.AveragePrecipitation.missing|Quay_NewMexico_UnitedStates.AverageWindDirection.data|Quay_NewMexico_UnitedStates.AverageWindDirection.missing|Quay_NewMexico_UnitedStates.AverageWindSpeed.data|Quay_NewMexico_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|255.0|0|16.041666666666668|0
0|2020-01-02|0.0|0|0.0|0|151.66666666666666|0|12.541666666666666|0
0|2020-01-03|0.004583333333333333|0|0.0|0|205.83333333333334|0|7.625|0
0|2020-01-04|0.0|0|0.0|0|234.58333333333334|0|11.125|0
0|2020-01-05|0.0|0|0.0|0|137.91666666666666|0|6.125|0
0|2020-01-06|0.0|0|0.0|0|155.0|0|7.083333333333333|0
0|2020-01-07|0.0|0|0.0|0|180.83333333333334|0|8.375|0
0|2020-01-08|0.0|0|0.0|0|223.33333333333334|0|13.208333333333334|0
0|2020-01-09|0.0|0|0.0|0|240.41666666666666|0|13.083333333333334|0
0|2020-01-10|0.0|0|0.0|0|115.20833333333333|0|13.8125|0
0|2020-01-11|0.0|0|0.0|0|217.5|0|9.125|0
0|2020-01-12|0.0|0|0.0|0|261.6666666666667|0|13.708333333333334|0
0|2020-01-13|0.0|0|0.0|0|233.95833333333334|0|13.458333333333334|0
0|2020-01-14|0.0|0|0.0|0|240.41666666666666|0|14.375|0
0|2020-01-15|0.0|0|0.0|0|124.58333333333333|0|11.208333333333334|0
0|2020-01-16|0.0|0|0.005124999999999999|0|117.90972222222223|0|6.434027777777778|0
0|2020-01-17|0.0022222222222222222|0|0.0|0|227.63888888888889|0|16.21527777777778|0
0|2020-01-18|0.0|0|0.0|0|119.16666666666667|0|6.625|0
0|2020-01-19|0.0|0|0.0|0|131.66666666666666|0|4.916666666666667|0
0|2020-01-20|0.0|0|0.0|0|222.91666666666666|0|6.833333333333333|0
