|dates|Hart_Georgia_UnitedStates.AveragePrecipitationTotal.data|Hart_Georgia_UnitedStates.AveragePrecipitationTotal.missing|Hart_Georgia_UnitedStates.AveragePrecipitation.data|Hart_Georgia_UnitedStates.AveragePrecipitation.missing|Hart_Georgia_UnitedStates.AverageWindDirection.data|Hart_Georgia_UnitedStates.AverageWindDirection.missing|Hart_Georgia_UnitedStates.AverageWindSpeed.data|Hart_Georgia_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|212.70833333333334|0|7.359375|0
0|2020-01-02|0.0|0|0.037170138888888885|0|142.25694444444446|0|3.6996527777777772|0
0|2020-01-03|0.035|0|0.02859374999999997|0|63.97569444444445|0|3.125|0
0|2020-01-04|0.041128472222222226|0|0.0051041666666666674|0|245.90277777777774|0|12.40625|0
0|2020-01-05|0.0004166666666666667|0|0.0|0|236.04166666666666|0|8.802083333333334|0
0|2020-01-06|0.0|0|0.0|0|141.66666666666666|0|4.578125|0
0|2020-01-07|0.0|0|0.004895833333333334|0|216.09375|0|10.729166666666666|0
0|2020-01-08|0.004166666666666667|0|0.0|0|190.625|0|5.802083333333333|0
0|2020-01-09|0.0|0|0.0|0|57.864583333333336|0|6.296875|0
0|2020-01-10|0.0|0|0.0|0|56.21527777777778|0|6.923611111111111|0
0|2020-01-11|0.0|0|0.02607638888888889|0|165.12152777777774|0|12.123263888888891|0
0|2020-01-12|0.013541666666666667|0|0.0004166666666666667|0|190.9027777777778|0|5.90625|0
0|2020-01-13|0.0011805555555555556|0|0.018055555555555557|0|77.1701388888889|0|1.6302083333333333|0
0|2020-01-14|0.04125|0|0.024340277777777756|0|175.6423611111111|0|4.850694444444445|0
0|2020-01-15|0.004583333333333333|0|0.0|0|172.86458333333334|0|5.315972222222222|0
0|2020-01-16|0.0|0|0.0|0|171.66666666666666|0|6.65625|0
0|2020-01-17|0.0|0|0.0|0|70.67708333333333|0|7.588541666666667|0
0|2020-01-18|0.0|0|0.009878472222222226|0|88.1423611111111|0|5.015625000000001|0
0|2020-01-19|0.015|0|0.0|0|243.69791666666666|0|10.364583333333334|0
0|2020-01-20|0.0|0|0.0|0|61.666666666666664|0|5.723958333333333|0
0|2020-01-21|0.0|0|0.0|0|92.1875|0|7.895833333333333|0
0|2020-01-22|0.0|0|0.0|0|66.61458333333333|0|6.140625|0
0|2020-01-23|0.0|0|0.0|0|60.86805555555555|0|9.503472222222223|0
0|2020-01-24|0.0007812499999999999|0|0.02963541666666666|0|112.69097222222223|0|6.815972222222222|0
0|2020-01-25|0.03625|0|0.0|0|258.5069444444444|0|10.453125|0
0|2020-01-26|0.0|0|0.0|0|227.29166666666666|0|6.703125|0
0|2020-01-27|0.0|0|0.0|0|259.375|0|9.244791666666666|0
0|2020-01-28|0.0|0|0.0|0|126.45833333333333|0|3.46875|0
0|2020-01-29|0.0|0|0.0|0|74.79166666666667|0|5.192708333333333|0
0|2020-01-30|0.0|0|0.0|0|52.604166666666664|0|5.807291666666667|0
0|2020-01-31|0.0|0|0.010711805555555558|0|45.76388888888889|0|6.876736111111111|0
0|2020-02-01|0.012083333333333333|0|0.0|0|180.22569444444443|0|6.517361111111112|0
0|2020-02-02|0.0|0|0.0|0|254.21875|0|13.984375|0
0|2020-02-03|0.0|0|0.0|0|212.5|0|8.067708333333334|0
0|2020-02-04|0.0|0|0.0|0|217.65625|0|9.4375|0
0|2020-02-05|0.0020833333333333333|0|0.006614583333333333|0|196.2152777777778|0|8.527777777777777|0
0|2020-02-06|0.0496875|0|0.1305555555555555|0|191.45833333333334|0|11.163194444444443|0
