|dates|Lancaster_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Lancaster_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Lancaster_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Lancaster_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Lancaster_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Lancaster_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Lancaster_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Lancaster_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-02|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-03|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-04|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-05|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-06|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-07|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-08|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-09|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-10|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-11|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-12|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-13|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-14|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-15|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-16|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-17|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-18|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-19|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-20|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-21|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-22|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-23|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-24|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-25|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-26|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-27|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-28|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-29|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-30|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-01-31|172851.5|0|4921.5|0|2.7684181512378143|0|177773.0|0
0|2020-02-01|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-02|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-03|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-04|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-05|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-06|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-07|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-08|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-09|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-10|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-11|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-12|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-13|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-14|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-15|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-16|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-17|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-18|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-19|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-20|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-21|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-22|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-23|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-24|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-25|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-26|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-27|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-28|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-02-29|175223.0|0|4792.5|0|2.662270748907733|0|180015.5|0
0|2020-03-01|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-02|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-03|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-04|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-05|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-06|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-07|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-08|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-09|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-10|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-11|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-12|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-13|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
0|2020-03-14|174216.0|0|6159.0|0|3.4145530145530145|0|180375.0|0
