|dates|Schley_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Schley_Georgia_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Schley_Georgia_UnitedStates.Male_Total_Population.data|Schley_Georgia_UnitedStates.Male_Total_Population.missing|Schley_Georgia_UnitedStates.Female_Total_Population.data|Schley_Georgia_UnitedStates.Female_Total_Population.missing|Schley_Georgia_UnitedStates.MaleAndFemale_Under18_Population.data|Schley_Georgia_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-06|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-07|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-08|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-09|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-10|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-11|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-12|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-13|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-14|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-15|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-16|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-30|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-01-31|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-06|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-07|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-08|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-09|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-10|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-11|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-12|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-13|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-14|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-15|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-16|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-02-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-06|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-07|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-08|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-09|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-10|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-11|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-12|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-13|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-14|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-15|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-16|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-30|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-03-31|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-06|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-07|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-08|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-09|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-10|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-11|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-12|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-13|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-14|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-15|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-16|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-17|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-18|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-19|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-20|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-21|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-22|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-23|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-24|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-25|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-26|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-27|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-28|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-29|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-04-30|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-05-01|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-05-02|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-05-03|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-05-04|897.0|0|2484.0|0|2752.0|0|1309.0|0
0|2020-05-05|897.0|0|2484.0|0|2752.0|0|1309.0|0
