|dates|Hooker_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Hooker_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Hooker_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Hooker_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Hooker_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Hooker_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Hooker_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Hooker_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-02|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-03|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-04|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-05|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-06|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-07|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-08|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-09|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-10|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-11|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-12|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-13|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-14|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-15|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-16|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-17|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-18|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-19|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-20|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-21|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-22|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-23|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-24|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-25|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-26|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-27|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-28|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-29|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-30|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-01-31|367.5|0|14.5|0|3.7958115183246073|0|382.0|0
0|2020-02-01|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-02|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-03|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-04|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-05|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-06|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-07|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-08|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-09|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-10|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-11|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-12|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-13|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-14|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-15|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-16|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-17|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-18|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-19|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-20|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-21|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-22|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-23|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-24|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-25|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-26|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-27|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-28|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-02-29|362.5|0|13.0|0|3.4620505992010653|0|375.5|0
0|2020-03-01|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-02|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-03|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-04|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-05|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-06|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-07|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-08|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-09|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-10|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-11|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-12|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-13|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-14|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
0|2020-03-15|377.5|0|15.5|0|3.9440203562340965|0|393.0|0
