|dates|Oldham_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Oldham_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Oldham_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Oldham_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Oldham_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Oldham_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Oldham_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Oldham_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-02|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-03|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-04|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-05|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-06|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-07|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-08|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-09|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-10|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-11|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-12|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-13|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-14|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-15|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-16|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-17|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-18|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-19|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-20|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-21|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-22|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-23|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-24|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-25|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-26|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-27|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-28|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-29|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-30|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-01-31|32401.5|0|1104.0|0|3.2949814209607378|0|33505.5|0
0|2020-02-01|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-02|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-03|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-04|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-05|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-06|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-07|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-08|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-09|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-10|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-11|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-12|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-13|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-14|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-15|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-16|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-17|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-18|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-19|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-20|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-21|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-22|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-23|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-24|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-25|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-26|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-27|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-28|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-02-29|32558.0|0|976.5|0|2.9119265234310934|0|33534.5|0
0|2020-03-01|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-02|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-03|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-04|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-05|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-06|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-07|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-08|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-09|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-10|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-11|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-12|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-13|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-14|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-15|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-16|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-17|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-18|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-19|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-20|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
0|2020-03-21|32212.5|0|1202.0|0|3.5972407188496014|0|33414.5|0
