|dates|Cass_Illinois_UnitedStates.BLS_EmployedPopulation.data|Cass_Illinois_UnitedStates.BLS_EmployedPopulation.missing|Cass_Illinois_UnitedStates.BLS_UnemployedPopulation.data|Cass_Illinois_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Illinois_UnitedStates.BLS_UnemploymentRate.data|Cass_Illinois_UnitedStates.BLS_UnemploymentRate.missing|Cass_Illinois_UnitedStates.BLS_LaborForcePopulation.data|Cass_Illinois_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-02|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-03|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-04|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-05|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-06|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-07|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-08|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-09|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-10|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-11|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-12|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-13|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-14|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-15|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-16|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-17|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-18|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
0|2020-01-19|5705.0|0|244.0|0|4.101529668851908|0|5949.0|0
