|dates|Deuel_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Deuel_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Deuel_SouthDakota_UnitedStates.Male_Total_Population.data|Deuel_SouthDakota_UnitedStates.Male_Total_Population.missing|Deuel_SouthDakota_UnitedStates.Female_Total_Population.data|Deuel_SouthDakota_UnitedStates.Female_Total_Population.missing|Deuel_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Deuel_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-02|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-03|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-04|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-05|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-06|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-07|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-08|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-09|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-10|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-11|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-12|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-13|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-14|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-15|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-16|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-17|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-18|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-19|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-20|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-21|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-22|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-23|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-24|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-25|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-26|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-27|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-28|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-29|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-30|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-01-31|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-01|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-02|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-03|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-04|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-05|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-06|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-07|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-08|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-09|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-10|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-11|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-12|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-13|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-14|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-15|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-16|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-17|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-18|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-19|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-20|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-21|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-22|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-23|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-24|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-25|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-26|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-27|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-28|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-02-29|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-01|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-02|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-03|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-04|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-05|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-06|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-07|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-08|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-09|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-10|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-11|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-12|949.0|0|2243.0|0|2094.0|0|1032.0|0
0|2020-03-13|949.0|0|2243.0|0|2094.0|0|1032.0|0
