|dates|Bronx_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bronx_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bronx_NewYork_UnitedStates.Male_Total_Population.data|Bronx_NewYork_UnitedStates.Male_Total_Population.missing|Bronx_NewYork_UnitedStates.Female_Total_Population.data|Bronx_NewYork_UnitedStates.Female_Total_Population.missing|Bronx_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Bronx_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-02|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-03|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-04|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-05|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-06|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-07|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-08|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-09|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-10|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-11|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-12|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-13|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-14|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-15|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-16|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-17|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-18|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-19|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-20|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-21|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-22|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-23|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-24|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-25|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-26|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-27|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-28|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-29|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-30|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-01-31|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-01|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-02|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-03|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-04|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-05|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-06|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-07|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-08|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-09|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-10|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-11|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-12|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-13|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-14|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-15|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-16|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-17|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-18|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-19|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-20|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-21|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-22|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-23|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-24|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-25|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-26|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-27|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-28|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-02-29|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-03-01|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-03-02|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-03-03|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-03-04|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2020-03-05|183375.0|0|674900.0|0|757232.0|0|354692.0|0
