|dates|Isanti_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Isanti_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Isanti_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Isanti_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Isanti_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Isanti_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Isanti_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Isanti_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-02|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-03|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-04|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-05|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-06|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-07|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-08|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-09|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-10|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-11|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-12|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-13|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-14|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-15|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-16|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-17|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-18|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-19|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-20|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-21|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-22|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-23|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-24|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-25|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-26|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-27|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-28|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-29|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-30|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-01-31|20665.5|0|1261.0|0|5.751031856429434|0|21926.5|0
0|2020-02-01|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-02|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-03|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-04|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-05|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-06|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-07|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-08|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-09|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-10|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-11|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-12|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-13|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-14|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-15|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-16|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-17|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-18|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-19|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-20|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-21|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-22|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
0|2020-02-23|20754.0|0|1167.0|0|5.323662241686055|0|21921.0|0
