|dates|Cheyenne_Colorado_UnitedStates.BLS_EmployedPopulation.data|Cheyenne_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Cheyenne_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Cheyenne_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Cheyenne_Colorado_UnitedStates.BLS_UnemploymentRate.data|Cheyenne_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Cheyenne_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Cheyenne_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-02|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-03|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-04|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-05|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-06|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-07|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-08|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-09|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-10|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-11|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-12|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-13|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-14|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-15|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-16|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-17|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-18|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-19|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-20|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-21|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-22|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-23|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-24|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-25|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-26|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-27|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-28|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-29|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-30|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-01-31|1118.0|0|19.0|0|1.6710642040457344|0|1137.0|0
0|2020-02-01|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-02|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-03|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-04|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-05|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-06|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-07|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-08|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-09|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-10|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-11|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-12|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-13|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-14|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-15|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-16|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-17|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-18|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-19|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-20|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-21|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-22|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-23|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-24|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-25|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-26|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-27|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-28|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-02-29|1111.5|0|18.0|0|1.593625498007968|0|1129.5|0
0|2020-03-01|985.0|0|33.0|0|3.2416502946954813|0|1018.0|0
0|2020-03-02|985.0|0|33.0|0|3.2416502946954813|0|1018.0|0
