|dates|Caroline_Maryland_UnitedStates.BLS_EmployedPopulation.data|Caroline_Maryland_UnitedStates.BLS_EmployedPopulation.missing|Caroline_Maryland_UnitedStates.BLS_UnemployedPopulation.data|Caroline_Maryland_UnitedStates.BLS_UnemployedPopulation.missing|Caroline_Maryland_UnitedStates.BLS_UnemploymentRate.data|Caroline_Maryland_UnitedStates.BLS_UnemploymentRate.missing|Caroline_Maryland_UnitedStates.BLS_LaborForcePopulation.data|Caroline_Maryland_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-02|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-03|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-04|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-05|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-06|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-07|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-08|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-09|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-10|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-11|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-12|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-13|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-14|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-15|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-16|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-17|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-18|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-19|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-20|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
0|2020-01-21|17612.0|0|697.0|0|3.806870937790158|0|18309.0|0
