|dates|Ventura_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ventura_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ventura_California_UnitedStates.Male_Total_Population.data|Ventura_California_UnitedStates.Male_Total_Population.missing|Ventura_California_UnitedStates.Female_Total_Population.data|Ventura_California_UnitedStates.Female_Total_Population.missing|Ventura_California_UnitedStates.MaleAndFemale_Under18_Population.data|Ventura_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-02|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-03|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-04|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-05|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-06|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-07|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-08|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-09|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-10|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-11|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-12|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-13|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-14|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-15|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-16|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-17|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-18|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-19|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-20|132387.0|0|421319.0|0|429648.0|0|194553.0|0
0|2020-01-21|132387.0|0|421319.0|0|429648.0|0|194553.0|0
