|dates|Sanpete_Utah_UnitedStates.BLS_EmployedPopulation.data|Sanpete_Utah_UnitedStates.BLS_EmployedPopulation.missing|Sanpete_Utah_UnitedStates.BLS_UnemployedPopulation.data|Sanpete_Utah_UnitedStates.BLS_UnemployedPopulation.missing|Sanpete_Utah_UnitedStates.BLS_UnemploymentRate.data|Sanpete_Utah_UnitedStates.BLS_UnemploymentRate.missing|Sanpete_Utah_UnitedStates.BLS_LaborForcePopulation.data|Sanpete_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-02|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-03|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-04|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-05|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-06|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-07|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-08|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-09|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-10|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-11|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-12|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-13|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-14|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-15|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-16|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-17|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-18|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-19|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-20|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-21|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-22|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-23|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-24|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-25|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-26|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-27|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-28|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-29|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-30|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-01-31|12011.0|0|439.0|0|3.5261044176706826|0|12450.0|0
0|2020-02-01|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-02|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-03|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-04|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-05|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-06|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-07|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-08|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-09|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-10|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-11|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
0|2020-02-12|12127.0|0|438.0|0|3.485873458018305|0|12565.0|0
