|dates|Cleburne_Arkansas_UnitedStates.BLS_EmployedPopulation.data|Cleburne_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|Cleburne_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|Cleburne_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|Cleburne_Arkansas_UnitedStates.BLS_UnemploymentRate.data|Cleburne_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|Cleburne_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|Cleburne_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-02|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-03|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-04|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-05|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-06|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-07|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-08|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-09|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-10|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-11|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-12|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-13|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-14|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-15|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-16|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-17|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-18|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-19|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-20|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-21|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-22|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-23|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-24|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-25|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-26|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-27|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-28|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-29|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-30|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-01-31|8514.5|0|518.5|0|5.740064209011402|0|9033.0|0
0|2020-02-01|8639.5|0|517.5|0|5.651414218630556|0|9157.0|0
0|2020-02-02|8639.5|0|517.5|0|5.651414218630556|0|9157.0|0
0|2020-02-03|8639.5|0|517.5|0|5.651414218630556|0|9157.0|0
0|2020-02-04|8639.5|0|517.5|0|5.651414218630556|0|9157.0|0
0|2020-02-05|8639.5|0|517.5|0|5.651414218630556|0|9157.0|0
0|2020-02-06|8639.5|0|517.5|0|5.651414218630556|0|9157.0|0
