|dates|Breckinridge_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Breckinridge_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Breckinridge_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Breckinridge_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Breckinridge_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Breckinridge_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Breckinridge_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Breckinridge_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-02|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-03|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-04|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-05|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-06|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-07|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-08|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-09|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-10|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-11|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-12|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-13|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-14|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-15|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-16|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-17|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-18|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-19|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-20|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-21|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-22|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-23|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-24|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-25|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-26|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-27|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-28|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-29|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-30|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-01-31|7474.0|0|494.0|0|6.199799196787149|0|7968.0|0
0|2020-02-01|7434.5|0|492.5|0|6.212943105840798|0|7927.0|0
0|2020-02-02|7434.5|0|492.5|0|6.212943105840798|0|7927.0|0
0|2020-02-03|7434.5|0|492.5|0|6.212943105840798|0|7927.0|0
0|2020-02-04|7434.5|0|492.5|0|6.212943105840798|0|7927.0|0
