|dates|Douglas_Nevada_UnitedStates.BLS_EmployedPopulation.data|Douglas_Nevada_UnitedStates.BLS_EmployedPopulation.missing|Douglas_Nevada_UnitedStates.BLS_UnemployedPopulation.data|Douglas_Nevada_UnitedStates.BLS_UnemployedPopulation.missing|Douglas_Nevada_UnitedStates.BLS_UnemploymentRate.data|Douglas_Nevada_UnitedStates.BLS_UnemploymentRate.missing|Douglas_Nevada_UnitedStates.BLS_LaborForcePopulation.data|Douglas_Nevada_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-02|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-03|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-04|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-05|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-06|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-07|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-08|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-09|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-10|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-11|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-12|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-13|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-14|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-15|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-16|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-17|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-18|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-19|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-20|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-21|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-22|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-23|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-24|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-25|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-26|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-27|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-28|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-29|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-30|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-01-31|22539.5|0|954.5|0|4.062739422831362|0|23494.0|0
0|2020-02-01|22800.0|0|922.0|0|3.8866874631144084|0|23722.0|0
0|2020-02-02|22800.0|0|922.0|0|3.8866874631144084|0|23722.0|0
0|2020-02-03|22800.0|0|922.0|0|3.8866874631144084|0|23722.0|0
0|2020-02-04|22800.0|0|922.0|0|3.8866874631144084|0|23722.0|0
0|2020-02-05|22800.0|0|922.0|0|3.8866874631144084|0|23722.0|0
