|dates|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ocean_NewJersey_UnitedStates.Male_Total_Population.data|Ocean_NewJersey_UnitedStates.Male_Total_Population.missing|Ocean_NewJersey_UnitedStates.Female_Total_Population.data|Ocean_NewJersey_UnitedStates.Female_Total_Population.missing|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.data|Ocean_NewJersey_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-03-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-03-31|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-04-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-05-31|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-17|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-18|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-19|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-20|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-21|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-22|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-23|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-24|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-25|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-26|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-27|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-28|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-29|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-06-30|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-01|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-02|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-03|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-04|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-05|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-06|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-07|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-08|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-09|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-10|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-11|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-12|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-13|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-14|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-15|135652.0|0|290366.0|0|311285.0|0|144247.0|0
0|2020-07-16|135652.0|0|290366.0|0|311285.0|0|144247.0|0
