|dates|Garrard_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Garrard_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Garrard_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Garrard_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Garrard_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Garrard_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Garrard_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Garrard_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-02|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-03|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-04|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-05|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-06|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-07|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-08|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-09|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-10|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-11|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-12|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-13|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-14|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-15|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-16|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-17|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-18|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-19|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-20|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-21|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-22|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-23|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-24|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-25|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-26|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-27|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-28|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-29|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-30|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-01-31|7292.0|0|400.0|0|5.200208008320333|0|7692.0|0
0|2020-02-01|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-02|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-03|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-04|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-05|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-06|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-07|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-08|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-09|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-10|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-11|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-12|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-13|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-14|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-15|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-16|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-17|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-18|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-19|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-20|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-21|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-22|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-23|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-24|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-25|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-26|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-27|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-28|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-02-29|7339.5|0|359.0|0|4.663246086900045|0|7698.5|0
0|2020-03-01|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-02|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-03|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-04|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-05|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-06|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-07|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
0|2020-03-08|7268.5|0|425.0|0|5.524143757717554|0|7693.5|0
