|dates|Scott_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Scott_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Scott_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Scott_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Scott_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Scott_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Scott_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Scott_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-02|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-03|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-04|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-05|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-06|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-07|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-08|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-09|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-10|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-11|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-12|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-13|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-14|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-15|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-16|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-17|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-18|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-19|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-20|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-21|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-22|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-23|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-24|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-25|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-26|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-27|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-28|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-29|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-30|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-01-31|7904.5|0|394.0|0|4.7478459962643855|0|8298.5|0
0|2020-02-01|7886.5|0|420.0|0|5.056281225546259|0|8306.5|0
0|2020-02-02|7886.5|0|420.0|0|5.056281225546259|0|8306.5|0
0|2020-02-03|7886.5|0|420.0|0|5.056281225546259|0|8306.5|0
