|dates|Cass_Iowa_UnitedStates.BLS_EmployedPopulation.data|Cass_Iowa_UnitedStates.BLS_EmployedPopulation.missing|Cass_Iowa_UnitedStates.BLS_UnemployedPopulation.data|Cass_Iowa_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Iowa_UnitedStates.BLS_UnemploymentRate.data|Cass_Iowa_UnitedStates.BLS_UnemploymentRate.missing|Cass_Iowa_UnitedStates.BLS_LaborForcePopulation.data|Cass_Iowa_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-02|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-03|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-04|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-05|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-06|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-07|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-08|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-09|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-10|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-11|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-12|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-13|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-14|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-15|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-16|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-17|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-18|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-19|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-20|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-21|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
0|2020-01-22|6712.0|0|261.5|0|3.7499103749910376|0|6973.5|0
