|dates|Hidalgo_Texas_UnitedStates.BLS_EmployedPopulation.data|Hidalgo_Texas_UnitedStates.BLS_EmployedPopulation.missing|Hidalgo_Texas_UnitedStates.BLS_UnemployedPopulation.data|Hidalgo_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Hidalgo_Texas_UnitedStates.BLS_UnemploymentRate.data|Hidalgo_Texas_UnitedStates.BLS_UnemploymentRate.missing|Hidalgo_Texas_UnitedStates.BLS_LaborForcePopulation.data|Hidalgo_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-02|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-03|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-04|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-05|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-06|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-07|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-08|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-09|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-10|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-11|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-12|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-13|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-14|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-15|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-16|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-17|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-18|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-19|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-20|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-21|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-22|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
0|2020-01-23|335107.5|0|27407.0|0|7.560249314165365|0|362514.5|0
