|dates|Lyon_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Lyon_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Lyon_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Lyon_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Lyon_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Lyon_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Lyon_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Lyon_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-02|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-03|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-04|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-05|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-06|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-07|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-08|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-09|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-10|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-11|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-12|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-13|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-14|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-15|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-16|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-17|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-18|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-19|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-20|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-21|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-22|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-23|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-24|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-25|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-26|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-27|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-28|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-29|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-30|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-01-31|2865.5|0|162.0|0|5.350949628406275|0|3027.5|0
0|2020-02-01|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-02|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-03|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-04|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-05|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-06|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-07|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-08|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-09|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-10|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-11|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-12|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-13|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-14|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-15|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-16|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-17|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-18|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-19|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
0|2020-02-20|2885.5|0|141.5|0|4.674595308886686|0|3027.0|0
