|dates|Franklin_Kansas_UnitedStates.BLS_EmployedPopulation.data|Franklin_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Kansas_UnitedStates.BLS_UnemploymentRate.data|Franklin_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-02|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-03|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-04|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-05|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-06|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-07|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-08|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-09|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-10|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-11|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-12|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-13|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-14|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-15|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-16|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-17|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-18|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-19|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-20|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-21|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-22|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-23|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-24|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-25|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-26|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-27|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-28|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-29|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-30|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-01-31|13624.0|0|511.5|0|3.618549043189134|0|14135.5|0
0|2020-02-01|13775.0|0|512.0|0|3.5836774690277875|0|14287.0|0
0|2020-02-02|13775.0|0|512.0|0|3.5836774690277875|0|14287.0|0
