|dates|Nantucket_Massachusetts_UnitedStates.AveragePrecipitationTotal.data|Nantucket_Massachusetts_UnitedStates.AveragePrecipitationTotal.missing|Nantucket_Massachusetts_UnitedStates.AveragePrecipitation.data|Nantucket_Massachusetts_UnitedStates.AveragePrecipitation.missing|Nantucket_Massachusetts_UnitedStates.AverageWindDirection.data|Nantucket_Massachusetts_UnitedStates.AverageWindDirection.missing|Nantucket_Massachusetts_UnitedStates.AverageWindSpeed.data|Nantucket_Massachusetts_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0004166666666666667|0|0.0004166666666666667|0|280.4166666666667|0|14.0625|0
0|2020-01-02|0.0|0|0.0|0|254.16666666666666|0|14.979166666666666|0
0|2020-01-03|0.0|0|0.0|0|245.23611111111111|0|10.26388888888889|0
0|2020-01-04|0.0033333333333333335|0|0.010208333333333335|0|187.8263888888889|0|6.798611111111112|0
0|2020-01-05|0.007916666666666667|0|0.007916666666666667|0|314.1666666666667|0|19.993055555555554|0
0|2020-01-06|0.0004166666666666667|0|0.0|0|205.20833333333334|0|5.416666666666667|0
0|2020-01-07|0.0|0|0.004375|0|196.25|0|10.3125|0
0|2020-01-08|0.010208333333333333|0|0.010645833333333334|0|266.70138888888886|0|18.347916666666666|0
0|2020-01-09|0.0|0|0.0|0|222.91666666666666|0|13.833333333333334|0
0|2020-01-10|0.0|0|0.0|0|204.16666666666666|0|15.333333333333334|0
0|2020-01-11|0.0|0|0.0|0|203.02083333333334|0|17.09375|0
0|2020-01-12|0.0|0|0.0004166666666666667|0|178.6111111111111|0|19.181250000000002|0
0|2020-01-13|0.0004166666666666667|0|0.0|0|78.36805555555556|0|9.684027777777777|0
0|2020-01-14|0.0|0|0.0006944444444444445|0|131.61111111111111|0|6.170833333333333|0
0|2020-01-15|0.0004166666666666667|0|0.0|0|180.95138888888889|0|5.1194444444444445|0
0|2020-01-16|0.0004166666666666667|0|0.0020833333333333333|0|240.3125|0|18.59027777777778|0
0|2020-01-17|0.0016666666666666668|0|0.0|0|336.4583333333333|0|25.020833333333332|0
0|2020-01-18|0.0|0|0.005555555555555556|0|225.1736111111111|0|10.465277777777777|0
0|2020-01-19|0.0029166666666666664|0|0.0017708333333333335|0|272.9861111111111|0|16.041666666666668|0
0|2020-01-20|0.0|0|0.0|0|329.1666666666667|0|16.6875|0
0|2020-01-21|0.0|0|0.0|0|312.0833333333333|0|11.958333333333334|0
0|2020-01-22|0.0|0|0.0|0|173.75|0|3.625|0
0|2020-01-23|0.0|0|0.0|0|207.5|0|6.520833333333333|0
0|2020-01-24|0.0|0|0.0|0|70.0|0|4.135416666666667|0
0|2020-01-25|0.0|0|0.014076388888888888|0|91.89583333333333|0|16.644444444444446|0
0|2020-01-26|0.009166666666666667|0|0.0002777777777777778|0|252.70833333333334|0|12.940972222222223|0
0|2020-01-27|0.0|0|0.0|0|263.9583333333333|0|11.791666666666666|0
0|2020-01-28|0.0|0|0.0|0|322.9166666666667|0|12.375|0
0|2020-01-29|0.0|0|0.0|0|312.77777777777777|0|14.263888888888888|0
0|2020-01-30|0.0|0|0.0|0|124.16666666666667|0|8.833333333333334|0
0|2020-01-31|0.0|0|0.0|0|128.75|0|4.916666666666667|0
0|2020-02-01|0.0016666666666666668|0|0.0016666666666666668|0|144.51388888888889|0|9.416666666666666|0
0|2020-02-02|0.0|0|0.0|0|292.15277777777777|0|8.618055555555555|0
0|2020-02-03|0.0|0|0.0|0|263.3333333333333|0|9.5|0
0|2020-02-04|0.0|0|0.0|0|155.52777777777777|0|7.877777777777777|0
0|2020-02-05|0.0025|0|0.0019097222222222224|0|146.80555555555554|0|9.89236111111111|0
