|dates|Hancock_Ohio_UnitedStates.BLS_EmployedPopulation.data|Hancock_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Hancock_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Hancock_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Hancock_Ohio_UnitedStates.BLS_UnemploymentRate.data|Hancock_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Hancock_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Hancock_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-02|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-03|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-04|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-05|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-06|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-07|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-08|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-09|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-10|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-11|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-12|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-13|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-14|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-15|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-16|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-17|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-18|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-19|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-20|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-21|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-22|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-23|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-24|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-25|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-26|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-27|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-28|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-29|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-30|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-01-31|40096.5|0|1613.0|0|3.8672244932209687|0|41709.5|0
0|2020-02-01|40903.0|0|1480.5|0|3.493104627980228|0|42383.5|0
0|2020-02-02|40903.0|0|1480.5|0|3.493104627980228|0|42383.5|0
0|2020-02-03|40903.0|0|1480.5|0|3.493104627980228|0|42383.5|0
