|dates|Stone_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Stone_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Stone_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Stone_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Stone_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Stone_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Stone_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Stone_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-02|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-03|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-04|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-05|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-06|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-07|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-08|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-09|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-10|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-11|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-12|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-13|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-14|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-15|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-16|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-17|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-18|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-19|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-20|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-21|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-22|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-23|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-24|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
0|2020-01-25|6435.0|0|425.5|0|6.202171853363457|0|6860.5|0
