|dates|Morris_Kansas_UnitedStates.BLS_EmployedPopulation.data|Morris_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Morris_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Morris_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Morris_Kansas_UnitedStates.BLS_UnemploymentRate.data|Morris_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Morris_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Morris_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-02|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-03|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-04|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-05|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-06|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-07|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-08|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-09|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-10|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-11|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-12|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-13|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-14|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-15|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-16|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-17|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-18|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-19|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-20|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-21|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-22|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-23|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-24|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-25|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-26|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-27|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-28|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-29|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-30|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-01-31|2928.0|0|101.5|0|3.350387852780987|0|3029.5|0
0|2020-02-01|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-02|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-03|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-04|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-05|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-06|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-07|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-08|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-09|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-10|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-11|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-12|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-13|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
0|2020-02-14|2939.5|0|97.0|0|3.1944673143421705|0|3036.5|0
