|dates|Saline_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Saline_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Saline_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Saline_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Saline_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Saline_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Saline_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Saline_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-02|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-03|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-04|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-05|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-06|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-07|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-08|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-09|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-10|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-11|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-12|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-13|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-14|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-15|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-16|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-17|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-18|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-19|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-20|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-21|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-22|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-23|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
0|2020-01-24|7158.5|0|258.0|0|3.478729859097957|0|7416.5|0
