|dates|Erie_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Erie_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Erie_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Erie_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Erie_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Erie_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Erie_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Erie_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-02|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-03|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-04|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-05|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-06|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-07|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-08|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-09|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-10|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-11|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-12|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-13|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-14|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-15|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-16|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-17|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-18|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-19|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-20|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-21|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-22|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-23|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-24|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-25|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-26|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-27|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-28|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-29|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-30|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-01-31|121707.0|0|7407.5|0|5.7371557803345095|0|129114.5|0
0|2020-02-01|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-02|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-03|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-04|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-05|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-06|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-07|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-08|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-09|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-10|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-11|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-12|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-13|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-14|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-15|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-16|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-17|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-18|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-19|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-20|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-21|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-22|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-23|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-24|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-25|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-26|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-27|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
0|2020-02-28|122548.5|0|7419.0|0|5.708350164464193|0|129967.5|0
