|dates|Gray_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Gray_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Gray_Kansas_UnitedStates.Male_Total_Population.data|Gray_Kansas_UnitedStates.Male_Total_Population.missing|Gray_Kansas_UnitedStates.Female_Total_Population.data|Gray_Kansas_UnitedStates.Female_Total_Population.missing|Gray_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Gray_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-02|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-03|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-04|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-05|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-06|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-07|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-08|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-09|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-10|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-11|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-12|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-13|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-14|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-15|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-16|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-17|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-18|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-19|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-20|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-21|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-22|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-23|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-24|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-25|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-26|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-27|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-28|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-29|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-30|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-01-31|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-01|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-02|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-03|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-04|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-05|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-06|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-07|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-08|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-09|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-10|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-11|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-12|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-13|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-14|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-15|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-16|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-17|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-18|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-19|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-20|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-21|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-22|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-23|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-24|910.0|0|3037.0|0|2996.0|0|1749.0|0
0|2020-02-25|910.0|0|3037.0|0|2996.0|0|1749.0|0
