|dates|YellowMedicine_Minnesota_UnitedStates.BLS_EmployedPopulation.data|YellowMedicine_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|YellowMedicine_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|YellowMedicine_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|YellowMedicine_Minnesota_UnitedStates.BLS_UnemploymentRate.data|YellowMedicine_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|YellowMedicine_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|YellowMedicine_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-02|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-03|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-04|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-05|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-06|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-07|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-08|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-09|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-10|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-11|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-12|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-13|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-14|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-15|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-16|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-17|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-18|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-19|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-20|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-21|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-22|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-23|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-24|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-25|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-26|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-27|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-28|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-29|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-30|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-01-31|4965.5|0|230.0|0|4.426907901068232|0|5195.5|0
0|2020-02-01|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-02|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-03|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-04|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-05|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-06|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-07|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-08|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-09|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-10|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-11|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-12|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-13|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-14|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-15|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-16|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-17|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-18|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-19|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-20|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-21|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-22|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-23|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-24|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-25|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-26|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-27|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-28|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-02-29|4971.0|0|230.5|0|4.431414015187927|0|5201.5|0
0|2020-03-01|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-02|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-03|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-04|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-05|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-06|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-07|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-08|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-09|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-10|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-11|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-12|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-13|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-14|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-15|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-16|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-17|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-18|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-19|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-20|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-21|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-22|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-23|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-24|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-25|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
0|2020-03-26|4949.5|0|225.0|0|4.34824620736303|0|5174.5|0
