|dates|Kosciusko_Indiana_UnitedStates.AveragePrecipitationTotal.data|Kosciusko_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Kosciusko_Indiana_UnitedStates.AveragePrecipitation.data|Kosciusko_Indiana_UnitedStates.AveragePrecipitation.missing|Kosciusko_Indiana_UnitedStates.AverageWindDirection.data|Kosciusko_Indiana_UnitedStates.AverageWindDirection.missing|Kosciusko_Indiana_UnitedStates.AverageWindSpeed.data|Kosciusko_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|226.14583333333334|0|9.208333333333334|0
0|2020-01-02|0.0|0|0.0|0|194.0625|0|6.578125|0
0|2020-01-03|0.0|0|0.0|0|234.79166666666666|0|4.197916666666667|0
0|2020-01-04|0.0|0|0.0|0|312.0833333333333|0|7.864583333333333|0
0|2020-01-05|0.0|0|0.0|0|240.10416666666666|0|10.90625|0
0|2020-01-06|0.0|0|0.0|0|251.14583333333334|0|9.125|0
0|2020-01-07|0.0|0|0.0|0|160.41666666666666|0|6.989583333333333|0
0|2020-01-08|0.0|0|0.0|0|224.89583333333334|0|10.34375|0
0|2020-01-09|0.0|0|0.0|0|161.77083333333334|0|11.020833333333334|0
0|2020-01-10|0.0|0|0.009583333333333334|0|156.97916666666666|0|5.083333333333333|0
0|2020-01-11|0.0|0|0.04385416666666663|0|123.125|0|8.96875|0
0|2020-01-12|0.0|0|0.0|0|176.14583333333334|0|5.041666666666667|0
0|2020-01-13|0.0|0|0.0|0|166.77083333333334|0|5.260416666666667|0
0|2020-01-14|0.0|0|0.0|0|185.3125|0|6.9375|0
0|2020-01-15|0.0|0|0.0|0|163.125|0|7.104166666666667|0
0|2020-01-16|0.0|0|0.0|0|295.1041666666667|0|14.28125|0
0|2020-01-17|0.0|0|0.0|0|98.02083333333333|0|10.291666666666666|0
0|2020-01-18|0.0|0|0.0003125|0|208.95833333333334|0|15.75|0
0|2020-01-19|0.0|0|0.0|0|264.1666666666667|0|14.239583333333334|0
0|2020-01-20|0.0|0|0.0|0|147.60416666666666|0|2.2291666666666665|0
0|2020-01-21|0.0|0|0.0|0|146.5625|0|2.875|0
0|2020-01-22|0.0|0|0.0|0|173.95833333333334|0|5.510416666666667|0
0|2020-01-23|0.0|0|0.0004166666666666667|0|144.58333333333334|0|5.177083333333333|0
0|2020-01-24|0.0|0|0.010520833333333339|0|110.10416666666667|0|5.75|0
0|2020-01-25|0.0|0|0.0010416666666666667|0|238.22916666666666|0|8.104166666666666|0
0|2020-01-26|0.0|0|0.0003125|0|256.7708333333333|0|9.59375|0
0|2020-01-27|0.0|0|0.0|0|275.7291666666667|0|6.104166666666667|0
0|2020-01-28|0.0|0|0.0|0|234.16666666666666|0|5.666666666666667|0
0|2020-01-29|0.0|0|0.0|0|38.541666666666664|0|1.875|0
0|2020-01-30|0.0|0|0.0|0|32.291666666666664|0|0.9270833333333334|0
0|2020-01-31|0.0|0|0.0|0|55.416666666666664|0|1.875|0
0|2020-02-01|0.0|0|0.0|0|180.0|0|6.708333333333333|0
0|2020-02-02|0.0|0|0.0|0|251.66666666666666|0|14.625|0
0|2020-02-03|0.0|0|0.0|0|88.33333333333333|0|2.5625|0
0|2020-02-04|0.0|0|0.0|0|81.66666666666667|0|9.375|0
0|2020-02-05|0.0|0|0.0004166666666666667|0|57.708333333333336|0|9.71875|0
0|2020-02-06|0.0|0|0.0004166666666666667|0|93.75|0|7.854166666666667|0
0|2020-02-07|0.0|0|0.0|0|290.9375|0|8.166666666666666|0
0|2020-02-08|0.0|0|0.0|0|168.125|0|3.65625|0
0|2020-02-09|0.0|0|0.0029166666666666677|0|169.89583333333334|0|5.875|0
0|2020-02-10|0.0|0|0.00010416666666666667|0|185.52083333333334|0|3.3541666666666665|0
0|2020-02-11|0.0|0|0.0|0|259.375|0|7.541666666666667|0
0|2020-02-12|0.0|0|0.0039583333333333345|0|117.60416666666667|0|2.8229166666666665|0
