|dates|Luce_Michigan_UnitedStates.BLS_EmployedPopulation.data|Luce_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Luce_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Luce_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Luce_Michigan_UnitedStates.BLS_UnemploymentRate.data|Luce_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Luce_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Luce_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-02|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-03|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-04|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-05|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-06|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-07|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-08|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-09|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-10|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-11|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-12|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-13|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-14|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-15|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-16|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-17|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-18|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-19|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-20|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-21|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-22|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-23|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-24|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-25|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-26|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-27|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-28|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-29|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-30|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-01-31|2067.5|0|153.5|0|6.911301215668618|0|2221.0|0
0|2020-02-01|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-02|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-03|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-04|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-05|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-06|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-07|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-08|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-09|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-10|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-11|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-12|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-13|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-14|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-15|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-16|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-17|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-18|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-19|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-20|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-21|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-22|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-23|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-24|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-25|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-26|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-27|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-28|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-02-29|2106.0|0|135.0|0|6.024096385542169|0|2241.0|0
0|2020-03-01|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-02|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-03|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-04|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-05|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-06|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-07|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-08|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-09|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-10|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-11|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-12|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-13|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-14|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-15|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-16|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-17|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-18|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-19|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-20|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-21|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-22|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-23|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-24|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-25|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-26|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-27|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-28|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-29|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
0|2020-03-30|2086.0|0|142.0|0|6.373429084380611|0|2228.0|0
