|dates|Putnam_Indiana_UnitedStates.BLS_EmployedPopulation.data|Putnam_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Putnam_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Putnam_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_Indiana_UnitedStates.BLS_UnemploymentRate.data|Putnam_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Putnam_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Putnam_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-02|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-03|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-04|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-05|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-06|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-07|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-08|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-09|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-10|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-11|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-12|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-13|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-14|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-15|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-16|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-17|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-18|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-19|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-20|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-21|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-22|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-23|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-24|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-25|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-26|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-27|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-28|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-29|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-30|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-01-31|16091.0|0|619.5|0|3.707249932677059|0|16710.5|0
0|2020-02-01|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-02|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-03|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-04|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-05|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-06|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-07|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-08|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-09|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-10|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-11|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-12|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
0|2020-02-13|16090.0|0|571.5|0|3.430063319629085|0|16661.5|0
