|dates|Harlan_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Harlan_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Harlan_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Harlan_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Harlan_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Harlan_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Harlan_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Harlan_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-02|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-03|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-04|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-05|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-06|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-07|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-08|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-09|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-10|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-11|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-12|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-13|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-14|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-15|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-16|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-17|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
0|2020-01-18|6015.0|0|805.0|0|11.803519061583577|0|6820.0|0
