|dates|Issaquena_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Issaquena_Mississippi_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Issaquena_Mississippi_UnitedStates.Male_Total_Population.data|Issaquena_Mississippi_UnitedStates.Male_Total_Population.missing|Issaquena_Mississippi_UnitedStates.Female_Total_Population.data|Issaquena_Mississippi_UnitedStates.Female_Total_Population.missing|Issaquena_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.data|Issaquena_Mississippi_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-02|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-03|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-04|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-05|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-06|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-07|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-08|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-09|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-10|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-11|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-12|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-13|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-14|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-15|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-16|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-17|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-18|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-19|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-20|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-21|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-22|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-23|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-24|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-25|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-26|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-27|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-28|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-29|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-30|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-01-31|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-01|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-02|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-03|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-04|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-05|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-06|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-07|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-08|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-09|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-10|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-11|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-12|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-13|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-14|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-15|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-16|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-17|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-18|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-19|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-20|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-21|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-22|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-23|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-24|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-25|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-26|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-27|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-28|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-02-29|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-01|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-02|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-03|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-04|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-05|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-06|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-07|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-08|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-09|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-10|218.0|0|774.0|0|534.0|0|152.0|0
0|2020-03-11|218.0|0|774.0|0|534.0|0|152.0|0
