|dates|Scott_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Scott_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Scott_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Scott_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Scott_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Scott_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Scott_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Scott_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-02|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-03|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-04|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-05|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-06|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-07|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-08|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-09|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-10|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-11|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-12|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-13|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-14|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-15|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-16|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-17|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-18|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-19|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-20|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-21|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-22|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-23|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-24|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-25|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-26|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-27|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-28|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-29|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-30|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-01-31|28349.0|0|1086.5|0|3.691121265139033|0|29435.5|0
0|2020-02-01|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-02|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-03|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-04|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-05|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-06|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-07|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-08|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-09|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-10|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-11|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-12|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
0|2020-02-13|28410.0|0|972.0|0|3.308147845619767|0|29382.0|0
