|dates|Maui_Hawaii_UnitedStates.AveragePrecipitationTotal.data|Maui_Hawaii_UnitedStates.AveragePrecipitationTotal.missing|Maui_Hawaii_UnitedStates.AveragePrecipitation.data|Maui_Hawaii_UnitedStates.AveragePrecipitation.missing|Maui_Hawaii_UnitedStates.AverageWindDirection.data|Maui_Hawaii_UnitedStates.AverageWindDirection.missing|Maui_Hawaii_UnitedStates.AverageWindSpeed.data|Maui_Hawaii_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|37.916666666666664|0|9.1875|0
0|2020-01-02|0.0|0|0.0|0|17.5|0|11.270833333333334|0
0|2020-01-03|0.0|0|0.0|0|36.25|0|14.416666666666666|0
0|2020-01-04|0.0|0|0.0|0|39.583333333333336|0|12.791666666666666|0
0|2020-01-05|0.0|0|0.0|0|46.041666666666664|0|14.541666666666666|0
0|2020-01-06|0.0|0|0.0|0|43.88888888888889|0|15.486111111111112|0
0|2020-01-07|0.0|0|0.0|0|43.125|0|16.041666666666668|0
0|2020-01-08|0.0|0|0.0|0|40.833333333333336|0|18.020833333333332|0
0|2020-01-09|0.0|0|0.0|0|38.958333333333336|0|21.875|0
0|2020-01-10|0.0|0|0.0|0|48.19444444444445|0|21.347222222222225|0
0|2020-01-11|0.0|0|0.0|0|82.08333333333333|0|15.416666666666666|0
0|2020-01-12|0.0|0|0.0|0|73.33333333333333|0|13.354166666666666|0
0|2020-01-13|0.0|0|0.0|0|84.79166666666667|0|16.770833333333332|0
0|2020-01-14|0.0|0|0.0|0|88.95833333333333|0|13.666666666666666|0
0|2020-01-15|0.0|0|0.0|0|46.458333333333336|0|13.375|0
0|2020-01-16|0.0|0|0.0|0|7.708333333333333|0|6.479166666666667|0
0|2020-01-17|0.0|0|0.0|0|28.958333333333332|0|13.895833333333334|0
0|2020-01-18|0.0|0|0.0|0|25.208333333333332|0|16.270833333333332|0
0|2020-01-19|0.0|0|0.0|0|34.375|0|15.5|0
0|2020-01-20|0.0|0|0.0|0|49.166666666666664|0|15.166666666666666|0
0|2020-01-21|0.0|0|0.0|0|25.416666666666668|0|8.541666666666666|0
0|2020-01-22|0.0|0|0.0|0|80.625|0|7.333333333333333|0
0|2020-01-23|0.0|0|0.0|0|56.875|0|7.166666666666667|0
0|2020-01-24|0.0|0|0.0|0|43.47222222222223|0|9.402777777777777|0
0|2020-01-25|0.0|0|0.0|0|45.208333333333336|0|11.520833333333334|0
