|dates|Bucks_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bucks_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bucks_Pennsylvania_UnitedStates.Male_Total_Population.data|Bucks_Pennsylvania_UnitedStates.Male_Total_Population.missing|Bucks_Pennsylvania_UnitedStates.Female_Total_Population.data|Bucks_Pennsylvania_UnitedStates.Female_Total_Population.missing|Bucks_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Bucks_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-02|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-03|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-04|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-05|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-06|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-07|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-08|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-09|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-10|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-11|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-12|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-13|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-14|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-15|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-16|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-17|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-18|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-19|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-20|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-21|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-22|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-23|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-24|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-25|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-26|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-27|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-28|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-29|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-30|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-01-31|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-01|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-02|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-03|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-04|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-05|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-06|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-07|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-08|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-09|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-10|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-11|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-12|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-13|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-14|117060.0|0|308395.0|0|319800.0|0|128216.0|0
0|2020-02-15|117060.0|0|308395.0|0|319800.0|0|128216.0|0
