|dates|Saginaw_Michigan_UnitedStates.BLS_EmployedPopulation.data|Saginaw_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Saginaw_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Saginaw_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Saginaw_Michigan_UnitedStates.BLS_UnemploymentRate.data|Saginaw_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Saginaw_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Saginaw_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-02|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-03|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-04|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-05|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-06|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-07|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-08|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-09|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-10|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-11|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-12|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-13|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-14|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-15|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-16|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-17|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-18|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-19|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-20|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-21|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-22|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-23|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-24|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-25|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
0|2020-01-26|81965.5|0|4223.5|0|4.900277297566975|0|86189.0|0
