|dates|Ballard_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Ballard_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Ballard_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Ballard_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Ballard_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Ballard_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Ballard_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Ballard_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-02|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-03|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-04|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-05|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-06|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-07|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-08|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-09|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-10|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-11|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-12|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-13|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-14|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-15|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-16|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-17|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-18|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-19|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-20|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-21|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-22|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-23|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-24|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-25|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-26|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-27|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-28|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
0|2020-01-29|3276.5|0|220.0|0|6.292006292006292|0|3496.5|0
