|dates|Brooks_Texas_UnitedStates.BLS_EmployedPopulation.data|Brooks_Texas_UnitedStates.BLS_EmployedPopulation.missing|Brooks_Texas_UnitedStates.BLS_UnemployedPopulation.data|Brooks_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Brooks_Texas_UnitedStates.BLS_UnemploymentRate.data|Brooks_Texas_UnitedStates.BLS_UnemploymentRate.missing|Brooks_Texas_UnitedStates.BLS_LaborForcePopulation.data|Brooks_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-02|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-03|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-04|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-05|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-06|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-07|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-08|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-09|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-10|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-11|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-12|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-13|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-14|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-15|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-16|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-17|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-18|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-19|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-20|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-21|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-22|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-23|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-24|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-25|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-26|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-27|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-28|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-29|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-30|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-01-31|2571.5|0|145.5|0|5.355171144644829|0|2717.0|0
0|2020-02-01|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-02|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-03|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-04|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-05|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-06|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-07|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-08|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-09|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-10|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-11|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-12|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-13|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-14|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-15|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-16|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-17|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-18|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-19|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-20|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-21|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-22|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-23|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-24|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-25|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-26|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-27|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-28|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-02-29|2572.5|0|144.5|0|5.318365844681634|0|2717.0|0
0|2020-03-01|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-02|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-03|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-04|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-05|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-06|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-07|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-08|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-09|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-10|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-11|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-12|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-13|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-14|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
0|2020-03-15|2497.0|0|226.0|0|8.299669482188762|0|2723.0|0
