|dates|Steuben_Indiana_UnitedStates.BLS_EmployedPopulation.data|Steuben_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Steuben_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Steuben_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Steuben_Indiana_UnitedStates.BLS_UnemploymentRate.data|Steuben_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Steuben_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Steuben_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-02|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-03|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-04|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-05|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-06|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-07|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-08|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-09|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-10|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-11|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-12|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-13|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-14|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-15|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-16|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-17|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-18|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-19|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-20|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-21|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-22|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-23|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
0|2020-01-24|20060.5|0|598.5|0|2.8970424512319086|0|20659.0|0
