|dates|Franklin_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Franklin_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Franklin_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-02|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-03|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-04|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-05|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-06|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-07|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-08|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-09|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-10|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-11|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-12|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-13|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-14|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-15|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-16|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
0|2020-01-17|74858.5|0|3464.5|0|4.423349463120667|0|78323.0|0
