|dates|Jay_Indiana_UnitedStates.BLS_EmployedPopulation.data|Jay_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Jay_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Jay_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Jay_Indiana_UnitedStates.BLS_UnemploymentRate.data|Jay_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Jay_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Jay_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-02|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-03|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-04|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-05|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-06|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-07|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-08|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-09|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-10|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-11|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-12|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-13|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-14|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-15|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-16|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-17|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-18|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-19|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-20|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-21|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-22|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-23|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-24|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-25|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-26|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-27|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-28|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-29|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-30|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-01-31|8823.5|0|320.0|0|3.4997539235522503|0|9143.5|0
0|2020-02-01|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-02|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-03|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-04|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-05|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-06|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-07|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-08|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
0|2020-02-09|8765.5|0|294.0|0|3.245212208179259|0|9059.5|0
