|dates|Hughes_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Hughes_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Hughes_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Hughes_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Hughes_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Hughes_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Hughes_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Hughes_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-02|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-03|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-04|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-05|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-06|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-07|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-08|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-09|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-10|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-11|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-12|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-13|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-14|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-15|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-16|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-17|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-18|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-19|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-20|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-21|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-22|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-23|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-24|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-25|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
0|2020-01-26|9565.5|0|295.0|0|2.991734699051772|0|9860.5|0
