|dates|DeerLodge_Montana_UnitedStates.BLS_EmployedPopulation.data|DeerLodge_Montana_UnitedStates.BLS_EmployedPopulation.missing|DeerLodge_Montana_UnitedStates.BLS_UnemployedPopulation.data|DeerLodge_Montana_UnitedStates.BLS_UnemployedPopulation.missing|DeerLodge_Montana_UnitedStates.BLS_UnemploymentRate.data|DeerLodge_Montana_UnitedStates.BLS_UnemploymentRate.missing|DeerLodge_Montana_UnitedStates.BLS_LaborForcePopulation.data|DeerLodge_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-02|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-03|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-04|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-05|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-06|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-07|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-08|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-09|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-10|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-11|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-12|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-13|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-14|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-15|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-16|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-17|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-18|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-19|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-20|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-21|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-22|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-23|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-24|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-25|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-26|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-27|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-28|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-29|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-30|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-01-31|4807.5|0|197.0|0|3.936457188530323|0|5004.5|0
0|2020-02-01|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-02|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-03|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-04|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-05|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-06|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-07|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-08|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-09|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-10|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-11|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-12|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-13|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-14|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-15|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-16|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-17|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
0|2020-02-18|4827.0|0|194.0|0|3.8637721569408483|0|5021.0|0
