|dates|Genesee_Michigan_UnitedStates.BLS_EmployedPopulation.data|Genesee_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Genesee_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Genesee_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Genesee_Michigan_UnitedStates.BLS_UnemploymentRate.data|Genesee_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Genesee_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Genesee_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-02|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-03|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-04|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-05|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-06|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-07|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-08|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-09|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-10|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-11|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-12|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-13|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-14|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-15|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-16|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-17|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-18|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-19|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-20|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-21|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-22|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-23|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-24|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-25|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-26|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-27|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-28|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-29|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-30|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-01-31|173080.5|0|8824.5|0|4.8511585717819745|0|181905.0|0
0|2020-02-01|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-02|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-03|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-04|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-05|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-06|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-07|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-08|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-09|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-10|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-11|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-12|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-13|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-14|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-15|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-16|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-17|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-18|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-19|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-20|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-21|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-22|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-23|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-24|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-25|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-26|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-27|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-28|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-02-29|175915.0|0|7576.0|0|4.128812857306353|0|183491.0|0
0|2020-03-01|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-02|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-03|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-04|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-05|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-06|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-07|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-08|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-09|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-10|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-11|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-12|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-13|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-14|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-15|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
0|2020-03-16|171878.5|0|8158.0|0|4.531303374593485|0|180036.5|0
