|dates|Clay_Missouri_UnitedStates.BLS_EmployedPopulation.data|Clay_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Clay_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Clay_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Clay_Missouri_UnitedStates.BLS_UnemploymentRate.data|Clay_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Clay_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Clay_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-02|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-03|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-04|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-05|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-06|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-07|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-08|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-09|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-10|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-11|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-12|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-13|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-14|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-15|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-16|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-17|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-18|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-19|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
0|2020-01-20|132351.5|0|4571.5|0|3.3387378307515903|0|136923.0|0
