|dates|Spokane_Washington_UnitedStates.BLS_EmployedPopulation.data|Spokane_Washington_UnitedStates.BLS_EmployedPopulation.missing|Spokane_Washington_UnitedStates.BLS_UnemployedPopulation.data|Spokane_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Spokane_Washington_UnitedStates.BLS_UnemploymentRate.data|Spokane_Washington_UnitedStates.BLS_UnemploymentRate.missing|Spokane_Washington_UnitedStates.BLS_LaborForcePopulation.data|Spokane_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-02|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-03|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-04|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-05|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-06|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-07|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-08|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-09|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-10|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-11|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-12|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-13|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-14|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-15|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-16|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-17|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-18|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-19|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-20|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-21|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-22|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-23|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-24|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-25|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-26|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-27|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-28|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-29|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-30|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-01-31|246898.5|0|15068.5|0|5.752060374016574|0|261967.0|0
0|2020-02-01|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-02|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-03|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-04|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-05|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-06|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-07|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-08|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-09|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-10|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-11|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-12|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-13|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-14|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-15|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-16|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-17|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-18|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-19|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-20|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
0|2020-02-21|248013.0|0|15304.0|0|5.812006061135437|0|263317.0|0
