|dates|Richmond_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Richmond_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Richmond_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Richmond_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Richmond_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Richmond_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Richmond_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Richmond_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-02|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-03|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-04|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-05|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-06|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-07|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-08|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-09|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-10|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-11|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-12|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-13|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-14|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-15|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-16|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-17|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-18|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-19|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-20|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-21|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-22|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-23|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-24|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-25|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-26|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-27|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-28|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-29|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-30|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-01-31|15879.0|0|895.5|0|5.338460162747027|0|16774.5|0
0|2020-02-01|16075.0|0|852.5|0|5.036183724708315|0|16927.5|0
0|2020-02-02|16075.0|0|852.5|0|5.036183724708315|0|16927.5|0
0|2020-02-03|16075.0|0|852.5|0|5.036183724708315|0|16927.5|0
0|2020-02-04|16075.0|0|852.5|0|5.036183724708315|0|16927.5|0
0|2020-02-05|16075.0|0|852.5|0|5.036183724708315|0|16927.5|0
