|dates|Lenawee_Michigan_UnitedStates.BLS_EmployedPopulation.data|Lenawee_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Lenawee_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Lenawee_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Lenawee_Michigan_UnitedStates.BLS_UnemploymentRate.data|Lenawee_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Lenawee_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Lenawee_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-02|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-03|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-04|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-05|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-06|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-07|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-08|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-09|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-10|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-11|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-12|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-13|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-14|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-15|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-16|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-17|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-18|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-19|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-20|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-21|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
0|2020-01-22|43904.0|0|1871.0|0|4.087383943200437|0|45775.0|0
