|dates|Jackson_Kansas_UnitedStates.BLS_EmployedPopulation.data|Jackson_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Jackson_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Jackson_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Jackson_Kansas_UnitedStates.BLS_UnemploymentRate.data|Jackson_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Jackson_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Jackson_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-02|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-03|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-04|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-05|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-06|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-07|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-08|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-09|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-10|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-11|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-12|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-13|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-14|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-15|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-16|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-17|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-18|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-19|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-20|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-21|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-22|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-23|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-24|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-25|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-26|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-27|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-28|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
0|2020-01-29|6926.5|0|258.5|0|3.5977731384829506|0|7185.0|0
