|dates|Lassen_California_UnitedStates.BLS_EmployedPopulation.data|Lassen_California_UnitedStates.BLS_EmployedPopulation.missing|Lassen_California_UnitedStates.BLS_UnemployedPopulation.data|Lassen_California_UnitedStates.BLS_UnemployedPopulation.missing|Lassen_California_UnitedStates.BLS_UnemploymentRate.data|Lassen_California_UnitedStates.BLS_UnemploymentRate.missing|Lassen_California_UnitedStates.BLS_LaborForcePopulation.data|Lassen_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-02|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-03|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-04|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-05|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-06|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-07|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-08|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-09|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-10|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-11|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-12|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-13|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-14|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-15|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-16|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-17|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-18|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-19|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-20|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-21|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-22|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-23|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-24|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-25|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-26|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-27|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-28|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-29|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-30|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-01-31|9085.5|0|559.5|0|5.800933125972006|0|9645.0|0
0|2020-02-01|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-02|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-03|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-04|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-05|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-06|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-07|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-08|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-09|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-10|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-11|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-12|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-13|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-14|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-15|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-16|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-17|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-18|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-19|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-20|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-21|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-22|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-23|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-24|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-25|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-26|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-27|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-28|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-02-29|9031.5|0|564.0|0|5.877755197748945|0|9595.5|0
0|2020-03-01|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-02|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-03|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-04|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-05|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-06|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-07|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-08|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-09|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
0|2020-03-10|8734.5|0|666.0|0|7.084729535662997|0|9400.5|0
